ID,ID_comu,genero_persona_en_situacion_de_violencia,edad_persona_en_situacion_de_violencia,prov_residencia_persona_en_situacion_violencia,pais_nacimiento_persona_en_situacion_de_violencia,vinculo_con_la_persona_agresora,genero_de_la_persona_agresora
242368,2022000233,Mujer,28,1,ARG,Pareja,Varon
242369,2022000234,Mujer,23,1,,Ex pareja,Varon
242370,2022000235,Mujer,38,1,ARG,Ex pareja,Varon
242371,2022000236,Mujer,45,1,ARG,Ex pareja,Varon
242372,2022000237,Mujer,67,1,,Pareja,Varon
242373,2022000238,Mujer,48,1,PRY,Otro,Mujer
242374,2022000239,Mujer,24,1,,Ex pareja,Varon
242375,2022000240,Mujer,20,1,,Ex pareja,Varon
242376,2022000241,Mujer,35,1,,Ex pareja,Varon
242377,2022000242,Mujer,57,1,,Otro familiar,Varon
242378,2022000243,Mujer,33,1,,Pareja,Varon
242379,2022000244,Mujer,31,1,,Ex pareja,Varon
242380,2022000245,Mujer,19,2,,Ex pareja,Varon
242381,2022000246,Mujer,,2,,Ex pareja,Varon
242382,2022000247,,,2,,Ex pareja,Varon
242383,2022000248,Mujer,27,2,VEN,Ex pareja,Varon
242384,2022000249,Mujer,39,2,,Ex pareja,Varon
242385,2022000250,Mujer,50,2,,Otro,Varon
242386,2022000251,Mujer,,2,,Ex pareja,Varon
242387,2022000252,Mujer,38,2,,Pareja,Varon
242388,2022000253,Mujer,63,2,,Ex pareja,Varon
242389,2022000254,Mujer,40,1,ARG,Pareja,Varon
242390,2022000255,Mujer,,21,,Otro,
242391,2022000256,Mujer,,1,,Pareja,Varon
242392,2022000257,Mujer,34,6,ARG,Otro,Varon
242393,2022000258,Mujer,27,1,ARG,Ex pareja,Varon
242394,2022000259,Mujer,,13,,,
242395,2022000260,Mujer,31,1,ARG,Ex pareja,
242396,2022000261,Mujer,23,1,ARG,Pareja,Varon
242397,2022000262,Mujer,35,1,ARG,Ex pareja,Varon
242398,2022000263,Mujer,46,1,ARG,Pareja,Varon
242399,2022000264,Mujer,74,14,ARG,Pareja,Varon
242400,2022000265,Mujer,,1,,Ex pareja,
242401,2022000266,Mujer,,1,,Otro,Varon
242402,2022000267,Mujer,17,24,ARG,Pareja,Varon
242403,2022000268,Mujer,,4,,Ex pareja,
242404,2022000269,Mujer,21,2,ARG,Ex pareja,Varon
242405,2022000270,Mujer,,1,ARG,Pareja,
242406,2022000271,Mujer,30,1,ARG,Ex pareja,Varon
242407,2022000272,Mujer,30,1,ARG,Pareja,Varon
242408,2022000273,Mujer,34,1,PRY,Pareja,Varon
242409,2022000274,Mujer,33,24,ARG,Ex pareja,Varon
242410,2022000275,Mujer,43,19,ARG,Pareja,Varon
242411,2022000276,Mujer,,1,ARG,Pareja,Varon
242412,2022000277,Mujer,23,13,ARG,Ex pareja,
242413,2022000278,Mujer,,21,,Ex pareja,Varon
242414,2022000279,Mujer,40,1,,Pareja,Varon
242415,2022000280,Mujer,27,1,ARG,Pareja,Varon
242416,2022000281,Mujer,30,1,ARG,Pareja,Varon
242417,2022000282,Mujer,33,1,,Ex pareja,Varon
242418,2022000283,Mujer,20,1,ARG,Pareja,Varon
242419,2022000284,Mujer,28,1,ARG,Ex pareja,Varon
242420,2022000285,Mujer,48,1,ARG,Ex pareja,Varon
242421,2022000286,Mujer,24,1,ARG,Ex pareja,Varon
242422,2022000287,Mujer,30,1,ARG,Ex pareja,Varon
242423,2022000288,Mujer,21,1,ARG,Ex pareja,Varon
242424,2022000289,Mujer,,1,,Pareja,Varon
242425,2022000290,Mujer,18,1,,Padre o tutor,Varon
242426,2022000291,Mujer,,1,VEN,Ex pareja,Varon
242427,2022000292,Mujer,46,1,ARG,Pareja,Varon
242428,2022000293,Mujer,43,1,ARG,Pareja,Varon
242429,2022000294,Mujer,,1,,Otro familiar,Varon
242430,2022000295,Mujer,20,1,,Pareja,Varon
242431,2022000296,Mujer,36,2,BOL,Pareja,Varon
242432,2022000297,Mujer,21,2,ARG,Ex pareja,Varon
242433,2022000298,Mujer,38,2,PER,Ex pareja,Varon
242434,2022000299,Mujer,45,2,PER,Ex pareja,Varon
242435,2022000300,Mujer,21,2,ARG,Ex pareja,Varon
242436,2022000301,Mujer,32,2,,Pareja,Varon
242437,2022000302,Mujer,28,2,VEN,,Varon Trans
242438,2022000303,Mujer,,1,ARG,Ex pareja,Varon
242439,2022000304,Mujer,50,2,,,Varon
242440,2022000305,Mujer,34,1,,Ex pareja,Varon
242441,2022000306,Mujer,,2,,Ex pareja,Varon
242442,2022000307,Mujer,33,2,ARG,Pareja,Varon
242443,2022000308,Mujer,35,2,,Otro,Varon
242444,2022000309,Mujer,34,2,,Pareja,Varon
242445,2022000310,Mujer,30,2,ARG,Ex pareja,Varon
242446,2022000311,,,2,,Ex pareja,Varon
242447,2022000312,Mujer,22,1,ARG,Pareja,Varon
242448,2022000313,Mujer,,1,,Pareja,Varon
242449,2022000314,Mujer,,6,ARG,Pareja,Varon
242450,2022000315,Mujer,23,24,,Otro,Varon
242451,2022000316,Mujer,44,6,ARG,Ex pareja,Varon
242452,2022000317,Mujer,43,1,ARG,Pareja,Varon
242453,2022000318,Mujer,40,1,ARG,,
242454,2022000319,Mujer,28,1,ARG,,
242455,2022000320,Mujer,38,14,,,
242456,2022000321,Mujer,61,1,,Pareja,Varon
242457,2022000322,Mujer,41,21,ARG,Ex pareja,Varon
242458,2022000323,Mujer,,6,,Ex pareja,Varon
242459,2022000324,Mujer,27,1,,Ex pareja,Varon
242460,2022000325,Mujer,23,1,,Ex pareja,
242461,2022000326,Mujer,,1,,Ex pareja,
242462,2022000327,Mujer,29,1,ARG,Ex pareja,Varon
242463,2022000328,Varon,21,1,,Ex pareja,Varon
242464,2022000329,Mujer,,13,,Ex pareja,Varon
242465,2022000330,Mujer,,1,,Ex pareja,
242466,2022000331,Mujer,25,1,ARG,Ex pareja,Varon
242467,2022000332,Mujer,,6,ARG,Ex pareja,Varon
242468,2022000333,Mujer,48,1,ARG,Ex pareja,Varon
242469,2022000334,Mujer,,24,ARG,Ex pareja,Varon
242470,2022000335,Mujer,38,1,,Pareja,Varon
242471,2022000336,Mujer,45,1,,Pareja,Varon
242472,2022000337,Mujer,79,1,ARG,Pareja,Varon
242473,2022000338,Mujer,34,1,PER,Pareja,Varon
242474,2022000339,Mujer,32,1,CHL,Pareja,Varon
242475,2022000340,Mujer,,1,,Pareja,Varon
242476,2022000341,Mujer,19,1,ARG,Pareja,Varon
242477,2022000342,Mujer,39,1,ARG,Ex pareja,Varon
242478,2022000343,Mujer,35,1,ARG,Ex pareja,Varon
242479,2022000344,Mujer,25,1,,Ex pareja,Varon
242480,2022000345,Mujer,16,1,ARG,Ex pareja,Varon
242481,2022000346,Mujer,38,1,COL,Otro,Otro
242482,2022000347,Mujer,32,1,ARG,Ex pareja,Varon
242483,2022000348,Mujer,42,1,,Otro familiar,Otro
242484,2022000349,Mujer,35,1,ARG,Ex pareja,Varon
242485,2022000350,Mujer,,1,ARG,Ex pareja,Varon
242486,2022000351,Mujer,,2,,Ex pareja,Varon
242487,2022000352,Mujer,,2,,Otro,Varon
242488,2022000353,Mujer,29,2,,Ex pareja,Varon
242489,2022000354,Mujer,35,2,BOL,Ex pareja,Varon
242490,2022000355,Mujer,,2,VEN,Ex pareja,Varon
242491,2022000356,Mujer,47,2,,Otro familiar,Varon
242492,2022000357,Mujer,44,2,ARG,Ex pareja,Varon
242493,2022000358,Mujer,13,2,,Pareja,Varon
242494,2022000359,,,,,Otro,
242495,2022000360,,46,2,ARG,,
242496,2022000361,,27,,ARG,Ex pareja,
242497,2022000362,,23,2,,Pareja,Varon
242498,2022000363,Mujer,,1,,Pareja,
242499,2022000364,Mujer,23,4,ARG,Ex pareja,Varon
242500,2022000365,Mujer,,14,,Ex pareja,
242501,2022000366,Mujer,43,12,ARG,Ex pareja,Varon
242502,2022000367,Mujer,21,1,ARG,Pareja,Varon
242503,2022000368,Mujer,,18,,,
242504,2022000369,Mujer,,21,ARG,Pareja,Varon
242505,2022000370,Mujer,44,1,ARG,Ex pareja,Varon
242506,2022000371,Mujer,35,1,ARG,Ex pareja,Varon
242507,2022000372,Mujer,35,18,ARG,Pareja,Varon
242508,2022000373,Mujer,,18,,,
242509,2022000374,Mujer,25,1,ARG,Ex pareja,
242510,2022000375,Mujer,28,1,ARG,Ex pareja,
242511,2022000376,Mujer,25,1,ARG,Pareja,Varon
242512,2022000377,Mujer,36,1,ARG,Ex pareja,Varon
242513,2022000378,Mujer,,1,,Pareja,
242514,2022000379,Mujer,,16,,Ex pareja,
242515,2022000380,Mujer,,1,,,
242516,2022000381,Mujer,34,15,,Pareja,Varon
242517,2022000382,Mujer,,1,,Pareja,
242518,2022000383,Mujer,34,14,ARG,Ex pareja,
242519,2022000384,Mujer,,1,,Ex pareja,
242520,2022000385,Mujer,,12,,,
242521,2022000386,Mujer,,1,,Ex pareja,
242522,2022000387,Mujer,,1,,Ex pareja,Varon
242523,2022000388,Mujer,34,1,,Ex pareja,Varon
242524,2022000389,Transgenero,25,21,ARG,Otro,
242525,2022000390,Mujer,,1,,Ex pareja,Varon
242526,2022000391,Mujer,,1,,Ex pareja,
242527,2022000392,Mujer,24,2,,Ex pareja,Varon
242528,2022000393,Mujer,27,6,ARG,Pareja,Varon
242529,2022000394,Mujer,26,23,ARG,Ex pareja,Varon
242530,2022000395,Mujer,35,1,ARG,Ex pareja,Varon
242531,2022000396,Mujer,39,21,ARG,Pareja,Varon
242532,2022000397,Mujer,21,18,ARG,Pareja,Varon
242533,2022000398,Mujer,21,1,,Otro familiar,Mujer
242534,2022000399,Mujer,,1,,Ex pareja,Varon
242535,2022000400,Mujer,37,1,ARG,Otro familiar,Mujer
242536,2022000401,Mujer,35,1,ARG,Ex pareja,Varon
242537,2022000402,Mujer,33,1,,Ex pareja,Varon
242538,2022000403,Mujer,,1,ARG,Pareja,Varon
242539,2022000404,Mujer,25,1,ARG,Ex pareja,Varon
242540,2022000405,Mujer,34,1,ARG,Pareja,Varon
242541,2022000406,Mujer,,1,ARG,Ex pareja,Varon
242542,2022000407,Mujer,28,1,ARG,Ex pareja,Varon
242543,2022000408,Mujer,45,1,ARG,Otro familiar,Varon
242544,2022000409,Mujer,21,1,ARG,Ex pareja,Varon
242545,2022000410,Mujer,,1,,,Varon
242546,2022000411,Mujer,28,1,ARG,Ex pareja,Varon
242547,2022000412,Mujer,33,1,ARG,Ex pareja,Varon
242548,2022000413,Mujer,29,1,ARG,Ex pareja,Varon
242549,2022000414,Mujer,29,1,ARG,Otro,Varon
242550,2022000415,Mujer,43,1,ARG,Ex pareja,Varon
242551,2022000416,Mujer,51,1,,Otro familiar,Varon
242552,2022000417,Mujer,45,1,,Pareja,Varon
242553,2022000418,Mujer,58,1,,Ex pareja,Varon
242554,2022000419,Mujer,45,1,ARG,Otro familiar,Varon
242555,2022000420,Mujer,22,1,ARG,Pareja,Varon
242556,2022000421,Mujer,25,1,ARG,Pareja,Varon
242557,2022000422,Mujer,,1,,Ex pareja,Varon
242558,2022000423,Mujer,43,2,,Ex pareja,Varon
242559,2022000424,Mujer,25,2,ARG,Ex pareja,Varon
242560,2022000425,Mujer,,2,BOL,Pareja,Varon
242561,2022000426,Mujer,30,2,PER,Ex pareja,Varon
242562,2022000427,Mujer,,2,ARG,Ex pareja,Varon
242563,2022000428,Mujer,28,2,PRY,Ex pareja,Varon
242564,2022000429,Mujer,19,2,,Otro,Varon
242565,2022000430,Mujer,22,2,,Padre o tutor,Varon
242566,2022000431,Mujer,30,2,,Ex pareja,Varon
242567,2022000432,Mujer,,2,,Pareja,Varon
242568,2022000433,Mujer,30,1,ARG,Pareja,
242569,2022000434,Mujer,27,1,,Ex pareja,Varon
242570,2022000435,Mujer,30,10,ARG,Ex pareja,Varon
242571,2022000436,Mujer,26,1,ARG,Pareja,
242572,2022000437,Mujer,32,1,PRY,Ex pareja,Varon
242573,2022000438,Mujer,35,10,ARG,Ex pareja,Varon
242574,2022000439,Mujer,48,1,ARG,Ex pareja,Varon
242575,2022000440,Mujer,34,13,ARG,Ex pareja,
242576,2022000441,Mujer,27,1,ARG,Ex pareja,Varon
242577,2022000442,Mujer,52,7,ARG,Pareja,Varon
242578,2022000443,Mujer,28,6,ARG,Ex pareja,Varon
242579,2022000444,Mujer,34,13,ARG,Pareja,Varon
242580,2022000445,Mujer,54,8,ARG,Ex pareja,Varon
242581,2022000446,Mujer,30,21,ARG,Ex pareja,Varon
242582,2022000447,Mujer,37,1,ARG,Pareja,Varon
242583,2022000448,Mujer,37,1,PER,Ex pareja,Varon
242584,2022000449,Mujer,70,24,ARG,Otro familiar,Varon
242585,2022000450,Mujer,45,24,ARG,Pareja,Varon
242586,2022000451,Mujer,50,1,ARG,Ex pareja,Varon
242587,2022000452,Mujer,37,6,ARG,Pareja,Varon
242588,2022000453,Mujer,22,1,ARG,Pareja,Varon
242589,2022000454,Mujer,35,24,ARG,Padre o tutor,Varon
242590,2022000455,Mujer,41,1,ARG,Pareja,Varon
242591,2022000456,Mujer,30,13,ARG,Ex pareja,Varon
242592,2022000457,Mujer,27,1,ARG,Ex pareja,Varon
242593,2022000458,Mujer,33,1,ARG,Ex pareja,Varon
242594,2022000459,Mujer,22,1,ARG,Ex pareja,
242595,2022000460,Mujer,20,2,ARG,Padre o tutor,Varon
242596,2022000461,Mujer,58,1,ARG,Ex pareja,Varon
242597,2022000462,Mujer,29,10,ARG,Ex pareja,Varon
242598,2022000463,Mujer,33,24,,Ex pareja,Varon
242599,2022000464,Mujer,41,24,ARG,Ex pareja,Varon
242600,2022000465,Mujer,19,24,ARG,Ex pareja,Varon
242601,2022000466,Mujer,28,1,ARG,Ex pareja,Varon
242602,2022000467,Mujer,49,1,ARG,Pareja,Varon
242603,2022000468,Mujer,42,6,ARG,Ex pareja,Varon
242604,2022000469,Mujer,38,1,ARG,Pareja,Varon
242605,2022000470,Mujer,23,21,ARG,Ex pareja,Varon
242606,2022000471,Mujer,45,12,ARG,Ex pareja,Varon
242607,2022000472,Mujer,32,1,PRY,Ex pareja,Varon
242608,2022000473,Mujer,39,1,PRY,Pareja,
